year,rank,team_name,match_count,win_count,defeat_count,draw_count,winning_rate,team_id
2023,1,LG,144,86,56,2,0.606,3
2023,2,KT,144,79,62,3,0.56,9
2023,3,SSG,144,76,65,3,0.539,6
2023,4,NC,144,75,67,2,0.528,8
2023,5,두산,144,74,68,2,0.521,4
2023,6,KIA,144,73,69,2,0.514,1
2023,7,롯데,144,68,76,0,0.472,0
2023,8,삼성,144,61,82,1,0.427,2
2023,9,한화,144,58,80,6,0.42,5
2023,10,키움,144,58,83,3,0.411,7
2022,1,SSG,144,88,52,4,0.629,6
2022,2,키움,144,80,62,2,0.563,7
2022,3,LG,144,87,55,2,0.613,3
2022,4,KT,144,80,62,2,0.563,9
2022,5,KIA,144,70,73,1,0.49,1
2022,6,NC,144,67,74,3,0.475,8
2022,7,삼성,144,66,76,2,0.465,2
2022,8,롯데,144,64,76,4,0.457,0
2022,9,두산,144,60,82,2,0.423,4
2022,10,한화,144,46,96,2,0.324,5
2021,1,KT,144,76,59,9,0.563,9
2021,2,두산,144,71,65,8,0.522,4
2021,3,삼성,144,76,59,9,0.563,2
2021,4,LG,144,72,58,14,0.554,3
2021,5,키움,144,70,67,7,0.511,7
2021,6,SSG,144,66,64,14,0.508,6
2021,7,NC,144,67,68,9,0.496,8
2021,8,롯데,144,65,71,8,0.478,0
2021,9,KIA,144,58,76,10,0.433,1
2021,10,한화,144,49,83,12,0.371,5
2020,1,NC,144,83,55,6,0.601,8
2020,2,두산,144,79,61,4,0.564,4
2020,3,KT,144,81,62,1,0.566,9
2020,4,LG,144,79,61,4,0.564,3
2020,5,키움,144,80,63,1,0.559,7
2020,6,KIA,144,73,71,0,0.507,1
2020,7,롯데,144,71,72,1,0.497,0
2020,8,삼성,144,64,75,5,0.46,2
2020,9,SK,144,51,92,1,0.357,6
2020,10,한화,144,46,95,3,0.326,5
2019,1,두산,144,88,55,1,0.615,4
2019,2,키움,144,86,57,1,0.601,7
2019,3,SK,144,88,55,1,0.615,6
2019,4,LG,144,79,64,1,0.552,3
2019,5,NC,144,73,69,2,0.514,8
